点号,电压等级,间隔名称,设备名称,设备大类,信息分类,告警分级,量测类型,动作量词,信号类型,是否上光字牌,主站描述,厂站端描述
288,110kV,1号主变公用,1号主变机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,#1主变本体轻瓦斯,#1主变本体轻瓦斯
289,110kV,1号主变公用,1号主变机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,#1主变有载轻瓦斯,#1主变有载轻瓦斯
290,110kV,1号主变公用,1号主变机构,辅助设备,事故,,,PSCADA复归/告警,主设备异常告警,是,#1主变本体重瓦斯,#1主变本体重瓦斯
291,110kV,1号主变公用,1号主变机构,辅助设备,事故,,,PSCADA复归/告警,主设备异常告警,是,#1主变有载重瓦斯,#1主变有载重瓦斯
292,110kV,1号主变公用,1号主变机构,辅助设备,事故,,,PSCADA复归/告警,主设备异常告警,是,#1主变压力释放,#1主变压力释放
293,110kV,1号主变公用,1号主变机构,辅助设备,事故,,,PSCADA复归/告警,主设备异常告警,是,#1主变油温高,#1主变油温高
294,110kV,1号主变公用,1号主变本体测控,二次设备,异常,,,PSCADA复归/告警,二次设备故障告警,是,#1主变本体测控装置失电,#1主变本体测控装置失电
295,110kV,1号主变公用,1号主变本体测控,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#1主变本体测控装置告警,#1主变本体测控装置告警
296,110kV,1号主变公用,1号主变保护I,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#1主变保护I差动动作,#1主变保护I差动动作
297,110kV,1号主变公用,1号主变保护I,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#1主变保护I装置闭锁,#1主变保护I装置闭锁
298,110kV,1号主变公用,1号主变保护II,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#1主变保护II差动动作,#1主变保护II差动动作
299,110kV,1号主变公用,1号主变保护II,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#1主变保护II装置闭锁,#1主变保护II装置闭锁
300,110kV,1号主变公用,1号主变保护II,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#1主变保护II高后备动作,#1主变保护II高后备动作
301,110kV,1号主变公用,1号主变保护II,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#1主变保护II中后备动作,#1主变保护II中后备动作
302,110kV,1号主变公用,1号主变保护II,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#1主变保护II低后备动作,#1主变保护II低后备动作
303,110kV,1号主变公用,1号主变保护II,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#1主变保护II装置报警,#1主变保护II装置报警
304,35kV,1号主变35kV侧,301开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,301储能电源跳闸,301储能电源跳闸
305,35kV,1号主变35kV侧,301开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,301开关室加热器动作,301开关室加热器动作
306,35kV,1号主变35kV侧,301开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,301电缆室加热器动作,301电缆室加热器动作
307,35kV,1号主变35kV侧,301开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,301电缆室/开关室加热器故障,301电缆室/开关室加热器故障
308,35kV,1号主变35kV侧,301开关机构,辅助设备,异常,,,PSCADA已储能/未储能,主设备异常告警,是,301弹簧未储能,301弹簧未储能
309,35kV,1号主变35kV侧,301开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,301SF6压力低报警,301SF6压力低报警
310,35kV,1号主变35kV侧,301开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,301SF6压力低闭锁,301SF6压力低闭锁
311,10kV,1号主变10kV侧,201开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,201储能电源跳闸,201储能电源跳闸
312,10kV,1号主变10kV侧,201开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,201电缆室/开关室加热器故障,201电缆室/开关室加热器故障
313,10kV,1号主变10kV侧,201开关机构,辅助设备,异常,,,PSCADA已储能/未储能,主设备异常告警,是,201弹簧未储能,201弹簧未储能
314,35kV,1号主变35kV侧,301开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,301控制回路断线,301控制回路断线
315,10kV,1号主变10kV侧,201开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,201控制回路断线,201控制回路断线
316,110kV,1号主变公用,1号主变机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,1#变调压空开位置,1#变调压空开位置
317,110kV,1号主变公用,1号主变机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,1#滤油压差报警,1#滤油压差报警
318,110kV,1号主变公用,1号主变机构,辅助设备,告知,,,PSCADA复归/动作,一般遥信,是,#1主变档位1,#1主变档位1
319,110kV,1号主变公用,1号主变机构,辅助设备,告知,,,PSCADA复归/动作,一般遥信,是,#1主变档位2,#1主变档位2
320,110kV,1号主变公用,1号主变机构,辅助设备,告知,,,PSCADA复归/动作,一般遥信,是,#1主变档位3,#1主变档位3
321,110kV,1号主变公用,1号主变机构,辅助设备,告知,,,PSCADA复归/动作,一般遥信,是,#1主变档位4,#1主变档位4
322,110kV,1号主变公用,1号主变机构,辅助设备,告知,,,PSCADA复归/动作,一般遥信,是,#1主变档位5,#1主变档位5
323,110kV,1号主变公用,1号主变机构,辅助设备,告知,,,PSCADA复归/动作,一般遥信,是,#1主变档位6,#1主变档位6
324,110kV,1号主变公用,1号主变机构,辅助设备,告知,,,PSCADA复归/动作,一般遥信,是,#1主变档位7,#1主变档位7
325,110kV,1号主变110kV侧,1号主变高压测控,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#1主变测控装置1闭锁,#1主变测控装置1闭锁
326,35kV,1号主变35kV侧,1号主变中压测控,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#1主变中压侧测控装置2闭锁,#1主变中压侧测控装置2闭锁
327,10kV,1号主变10kV侧,1号主变低压测控,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#1主变测控装置3闭锁,#1主变测控装置3闭锁
328,110kV,1号主变公用,1号主变低周保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#1主变低周装置动作,#1主变低周装置动作
329,110kV,1号主变公用,1号主变低周保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#1主变低周装置闭锁,#1主变低周装置闭锁
330,110kV,1号主变公用,1号主变低周保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,1#低周装置异常,1#低周装置异常
331,110kV,2号主变公用,2号主变保护I,二次设备,告知,,,PSCADA退出/投入,一般遥信,是,#2主变保护I低压侧电压退出,#2主变保护I低压侧电压退出
332,110kV,2号主变公用,2号主变保护I,二次设备,告知,,,PSCADA退出/投入,一般遥信,是,#2主变保护I中压侧电压退出,#2主变保护I中压侧电压退出
333,110kV,2号主变公用,2号主变保护I,二次设备,告知,,,PSCADA退出/投入,一般遥信,是,#2主变保护I高压侧电压退出,#2主变保护I高压侧电压退出
334,110kV,2号主变公用,2号主变保护I,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#2主变保护I差动速断,#2主变保护I差动速断
335,110kV,2号主变公用,2号主变保护I,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#2主变保护I比率差动,#2主变保护I比率差动
336,110kV,2号主变公用,2号主变保护I,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#2主变保护I高压侧过流I段第一时限,#2主变保护I高压侧过流I段第一时限
337,110kV,2号主变公用,2号主变保护I,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#2主变保护I高压侧零序过流III段第一时限,#2主变保护I高压侧零序过流III段第一时限
338,110kV,2号主变公用,2号主变保护I,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#2主变保护I高压侧零序过压第一时限,#2主变保护I高压侧零序过压第一时限
339,110kV,2号主变公用,2号主变保护I,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#2主变保护I高压侧间隙零序过流第一时限,#2主变保护I高压侧间隙零序过流第一时限
340,110kV,2号主变公用,2号主变保护I,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#2主变保护I高压侧过负荷I段,#2主变保护I高压侧过负荷I段
341,110kV,2号主变公用,2号主变保护I,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#2主变保护I高压侧过载闭锁调压,#2主变保护I高压侧过载闭锁调压
342,110kV,2号主变公用,2号主变保护I,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#2主变保护I中压侧过流I段第一时限,#2主变保护I中压侧过流I段第一时限
343,110kV,2号主变公用,2号主变保护I,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#2主变保护I中压侧过负荷I段,#2主变保护I中压侧过负荷I段
344,110kV,2号主变公用,2号主变保护I,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#2主变保护I低压侧过流I段第一时限,#2主变保护I低压侧过流I段第一时限
345,110kV,2号主变公用,2号主变保护I,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#2主变保护I低压侧过流II段第一时限,#2主变保护I低压侧过流II段第一时限
346,110kV,2号主变公用,2号主变保护I,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#2主变保护I低压侧过负荷,#2主变保护I低压侧过负荷
347,110kV,2号主变公用,2号主变保护I,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#2主变保护I高压侧1支路TA异常,#2主变保护I高压侧1支路TA异常
348,110kV,2号主变公用,2号主变保护I,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#2主变保护I高压侧2支路TA异常,#2主变保护I高压侧2支路TA异常
349,110kV,2号主变公用,2号主变保护I,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#2主变保护I中压侧TA异常,#2主变保护I中压侧TA异常
350,110kV,2号主变公用,2号主变保护I,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#2主变保护I低压侧TA异常,#2主变保护I低压侧TA异常
351,110kV,2号主变公用,2号主变保护I,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#2主变保护I高压侧TV异常,#2主变保护I高压侧TV异常
352,110kV,2号主变公用,2号主变保护I,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#2主变保护I中压侧TV异常,#2主变保护I中压侧TV异常
353,110kV,2号主变公用,2号主变保护I,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#2主变保护I低压侧TV异常,#2主变保护I低压侧TV异常
354,110kV,2号主变公用,2号主变保护I,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#2主变保护I高压侧复压启动,#2主变保护I高压侧复压启动
355,110kV,2号主变公用,2号主变保护I,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#2主变保护I中压侧复压启动,#2主变保护I中压侧复压启动
356,110kV,2号主变公用,2号主变保护I,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#2主变保护I低压侧复压启动,#2主变保护I低压侧复压启动
357,110kV,2号主变公用,2号主变保护II,二次设备,告知,,,PSCADA退出/投入,一般遥信,是,#2主变保护II低压侧电压退出,#2主变保护II低压侧电压退出
358,110kV,2号主变公用,2号主变保护II,二次设备,告知,,,PSCADA退出/投入,一般遥信,是,#2主变保护II中压侧电压退出,#2主变保护II中压侧电压退出
359,110kV,2号主变公用,2号主变保护II,二次设备,告知,,,PSCADA退出/投入,一般遥信,是,#2主变保护II高压侧电压退出,#2主变保护II高压侧电压退出
360,110kV,2号主变公用,2号主变保护II,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#2主变保护II差动速断,#2主变保护II差动速断
361,110kV,2号主变公用,2号主变保护II,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#2主变保护II比率差动,#2主变保护II比率差动
362,110kV,2号主变公用,2号主变保护II,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#2主变保护II高压侧过流I段第一时限,#2主变保护II高压侧过流I段第一时限
363,110kV,2号主变公用,2号主变保护II,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#2主变保护II高压侧零序过流III段第一时限,#2主变保护II高压侧零序过流III段第一时限
364,110kV,2号主变公用,2号主变保护II,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#2主变保护II高压侧零序过压第一时限,#2主变保护II高压侧零序过压第一时限
365,110kV,2号主变公用,2号主变保护II,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#2主变保护II高压侧间隙零序过流第一时限,#2主变保护II高压侧间隙零序过流第一时限
366,110kV,2号主变公用,2号主变保护II,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#2主变保护II高压侧过负荷I段,#2主变保护II高压侧过负荷I段
367,110kV,2号主变公用,2号主变保护II,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#2主变保护II高压侧过载闭锁调压,#2主变保护II高压侧过载闭锁调压
368,110kV,2号主变公用,2号主变保护II,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#2主变保护II中压侧过流I段第一时限,#2主变保护II中压侧过流I段第一时限
369,110kV,2号主变公用,2号主变保护II,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#2主变保护II中压侧过负荷I段,#2主变保护II中压侧过负荷I段
370,110kV,2号主变公用,2号主变保护II,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#2主变保护II低压侧过流I段第一时限,#2主变保护II低压侧过流I段第一时限
371,110kV,2号主变公用,2号主变保护II,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#2主变保护II低压侧过流II段第一时限,#2主变保护II低压侧过流II段第一时限
372,110kV,2号主变公用,2号主变保护II,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#2主变保护II低压侧过负荷,#2主变保护II低压侧过负荷
373,110kV,2号主变公用,2号主变保护II,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#2主变保护II高压侧1支路TA异常,#2主变保护II高压侧1支路TA异常
374,110kV,2号主变公用,2号主变保护II,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#2主变保护II高压侧2支路TA异常,#2主变保护II高压侧2支路TA异常
375,110kV,2号主变公用,2号主变保护II,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#2主变保护II中压侧TA异常,#2主变保护II中压侧TA异常
376,110kV,2号主变公用,2号主变保护II,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#2主变保护II低压侧TA异常,#2主变保护II低压侧TA异常
377,110kV,2号主变公用,2号主变保护II,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#2主变保护II高压侧TV异常,#2主变保护II高压侧TV异常
378,110kV,2号主变公用,2号主变保护II,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#2主变保护II中压侧TV异常,#2主变保护II中压侧TV异常
379,110kV,2号主变公用,2号主变保护II,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#2主变保护II低压侧TV异常,#2主变保护II低压侧TV异常
380,110kV,2号主变公用,2号主变保护II,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#2主变保护II高压侧复压启动,#2主变保护II高压侧复压启动
381,110kV,2号主变公用,2号主变保护II,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#2主变保护II中压侧复压启动,#2主变保护II中压侧复压启动
382,110kV,2号主变公用,2号主变保护II,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#2主变保护II低压侧复压启动,#2主变保护II低压侧复压启动
383,110kV,2号主变公用,2号主变保护I,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#2主变保护I高后备动作,#2主变保护I高后备动作
384,110kV,2号主变公用,2号主变保护I,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#2主变保护I中后备动作,#2主变保护I中后备动作
385,110kV,2号主变公用,2号主变保护I,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#2主变保护I低后备动作,#2主变保护I低后备动作
386,110kV,2号主变公用,2号主变保护I,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#2主变保护I装置报警,#2主变保护I装置报警
387,110kV,2号主变公用,2号主变机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,#2主变本体油位异常,#2主变本体油位异常
388,110kV,2号主变公用,2号主变机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,#2主变有载油位异常,#2主变有载油位异常
391,110kV,2号主变公用,2号主变机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,#2主变本体轻瓦斯,#2主变本体轻瓦斯
392,110kV,2号主变公用,2号主变机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,#2主变有载轻瓦斯,#2主变有载轻瓦斯
393,110kV,2号主变公用,2号主变机构,辅助设备,事故,,,PSCADA复归/告警,主设备异常告警,是,#2主变本体重瓦斯,#2主变本体重瓦斯
394,110kV,2号主变公用,2号主变机构,辅助设备,事故,,,PSCADA复归/告警,主设备异常告警,是,#2主变有载重瓦斯,#2主变有载重瓦斯
395,110kV,2号主变公用,2号主变机构,辅助设备,事故,,,PSCADA复归/告警,主设备异常告警,是,#2主变压力释放,#2主变压力释放
396,110kV,2号主变公用,2号主变机构,辅助设备,事故,,,PSCADA复归/告警,主设备异常告警,是,#2主变油温高,#2主变油温高
397,110kV,2号主变公用,2号主变本体测控,二次设备,异常,,,PSCADA复归/告警,二次设备故障告警,是,#2主变本体测控装置失电,#2主变本体测控装置失电
398,110kV,2号主变公用,2号主变本体测控,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#2主变本体测控装置告警,#2主变本体测控装置告警
399,110kV,2号主变公用,2号主变保护I,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#2主变保护I差动动作,#2主变保护I差动动作
400,110kV,2号主变公用,2号主变保护I,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#2主变保护I装置闭锁,#2主变保护I装置闭锁
401,110kV,2号主变公用,2号主变保护II,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#2主变保护II差动动作,#2主变保护II差动动作
402,110kV,2号主变公用,2号主变保护II,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#2主变保护II装置闭锁,#2主变保护II装置闭锁
403,110kV,2号主变公用,2号主变保护II,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#2主变保护II高后备动作,#2主变保护II高后备动作
404,110kV,2号主变公用,2号主变保护II,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#2主变保护II中后备动作,#2主变保护II中后备动作
405,110kV,2号主变公用,2号主变保护II,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#2主变保护II低后备动作,#2主变保护II低后备动作
406,110kV,2号主变公用,2号主变保护II,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#2主变保护II装置报警,#2主变保护II装置报警
407,35kV,2号主变35kV侧,302开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,302储能电源跳闸,302储能电源跳闸
408,35kV,2号主变35kV侧,302开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,302开关室加热器动作,302开关室加热器动作
409,35kV,2号主变35kV侧,302开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,302电缆室加热器动作,302电缆室加热器动作
410,35kV,2号主变35kV侧,302开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,302电缆室/开关室加热器故障,302电缆室/开关室加热器故障
411,35kV,2号主变35kV侧,302开关机构,辅助设备,异常,,,PSCADA已储能/未储能,主设备异常告警,是,302弹簧未储能,302弹簧未储能
412,35kV,2号主变35kV侧,302开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,302SF6压力低报警,302SF6压力低报警
413,35kV,2号主变35kV侧,302开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,302SF6压力低闭锁,302SF6压力低闭锁
414,10kV,2号主变10kV侧,202开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,202储能电源跳闸,202储能电源跳闸
415,10kV,2号主变10kV侧,202开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,202电缆室/开关室加热器故障,202电缆室/开关室加热器故障
416,10kV,2号主变10kV侧,202开关机构,辅助设备,异常,,,PSCADA已储能/未储能,主设备异常告警,是,202弹簧未储能,202弹簧未储能
417,35kV,2号主变35kV侧,302开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,302控制回路断线,302控制回路断线
418,10kV,2号主变10kV侧,202开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,202控制回路断线,202控制回路断线
419,110kV,2号主变公用,2号主变机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,2#变调压空开位置,2#变调压空开位置
420,110kV,2号主变公用,2号主变机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,2#滤油压差报警,2#滤油压差报警
421,110kV,2号主变公用,2号主变机构,辅助设备,告知,,,PSCADA分位/合位,一般遥信,是,#2主变档位1,#2主变档位1
422,110kV,2号主变公用,2号主变机构,辅助设备,告知,,,PSCADA分位/合位,一般遥信,是,#2主变档位2,#2主变档位2
423,110kV,2号主变公用,2号主变机构,辅助设备,告知,,,PSCADA分位/合位,一般遥信,是,#2主变档位3,#2主变档位3
424,110kV,2号主变公用,2号主变机构,辅助设备,告知,,,PSCADA分位/合位,一般遥信,是,#2主变档位4,#2主变档位4
425,110kV,2号主变公用,2号主变机构,辅助设备,告知,,,PSCADA分位/合位,一般遥信,是,#2主变档位5,#2主变档位5
426,110kV,2号主变公用,2号主变机构,辅助设备,告知,,,PSCADA分位/合位,一般遥信,是,#2主变档位6,#2主变档位6
427,110kV,2号主变公用,2号主变机构,辅助设备,告知,,,PSCADA分位/合位,一般遥信,是,#2主变档位7,#2主变档位7
428,110kV,2号主变110kV侧,2号主变高压测控,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#2主变测控装置1闭锁,#2主变测控装置1闭锁
429,35kV,2号主变35kV侧,2号主变中压测控,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#2主变测控装置2闭锁,#2主变测控装置2闭锁
430,110kV,2号主变公用,2号主变低周保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,#2主变低周装置动作,#2主变低周装置动作
431,10kV,2号主变10kV侧,2号主变低压测控,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#2主变测控装置3闭锁,#2主变测控装置3闭锁
432,110kV,2号主变公用,2号主变低周保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,#2主变低周装置闭锁,#2主变低周装置闭锁
433,110kV,2号主变公用,2号主变低周保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,2#低周装置异常,2#低周装置异常
434,35kV,35kV311备用线,311线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,311重合闸动作,311重合闸动作
435,35kV,35kV311备用线,311线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,311过流Ⅰ段动作（速断）,311过流Ⅰ段动作（速断）
436,35kV,35kV311备用线,311线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,311过流Ⅱ段动作（过流）,311过流Ⅱ段动作（过流）
437,35kV,35kV311备用线,311线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,311过流加速动作,311过流加速动作
438,35kV,35kV311备用线,311线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,311装置报警,311装置报警
439,35kV,35kV311备用线,311线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,311PT断线,311PT断线
440,35kV,35kV311备用线,311开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,311控制回路断线,311控制回路断线
441,35kV,35kV311备用线,311线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,311过负荷报警,311过负荷报警
442,35kV,35kV311备用线,311开关机构,辅助设备,异常,,,PSCADA已储能/未储能,主设备异常告警,是,311弹簧未储能,311弹簧未储能
443,35kV,35kV311备用线,311线路保护,二次设备,告知,,,PSCADA远方/就地,一般遥信,是,311测控屏远方/就地,311测控屏远方/就地
444,35kV,35kV311备用线,311线路保护,二次设备,变位,,,PSCADA退出/投入,一般遥信,是,311闭锁重合压板,311闭锁重合压板
445,35kV,35kV311备用线,311线路保护,二次设备,告知,,,PSCADA分位/合位,一般遥信,是,311信号复归开入,311信号复归开入
446,35kV,35kV311备用线,311线路保护,二次设备,异常,,,PSCADA退出/投入,一般遥信,是,311装置检修,311装置检修
447,35kV,35kV311备用线,311开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,311储能电源跳闸,311储能电源跳闸
448,35kV,35kV311备用线,311开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,311SF6压力低闭锁,311SF6压力低闭锁
449,35kV,35kV311备用线,311开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,311SF6压力低报警,311SF6压力低报警
450,35kV,35kV311备用线,311开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,311电缆室/开关室加热器故障,311电缆室/开关室加热器故障
451,35kV,35kV311备用线,311线路保护,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,311网络通讯正常,311网络通讯正常
452,35kV,35kV313备用线,313线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,313重合闸动作,313重合闸动作
453,35kV,35kV313备用线,313线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,313过流Ⅰ段动作（速断）,313过流Ⅰ段动作（速断）
454,35kV,35kV313备用线,313线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,313过流Ⅱ段动作（过流）,313过流Ⅱ段动作（过流）
455,35kV,35kV313备用线,313线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,313过流加速动作,313过流加速动作
456,35kV,35kV313备用线,313线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,313装置报警,313装置报警
457,35kV,35kV313备用线,313线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,313PT断线,313PT断线
458,35kV,35kV313备用线,313开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,313控制回路断线,313控制回路断线
459,35kV,35kV313备用线,313线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,313过负荷报警,313过负荷报警
460,35kV,35kV313备用线,313开关机构,辅助设备,异常,,,PSCADA已储能/未储能,主设备异常告警,是,313弹簧未储能,313弹簧未储能
461,35kV,35kV313备用线,313线路保护,二次设备,告知,,,PSCADA远方/就地,一般遥信,是,313测控屏远方/就地,313测控屏远方/就地
462,35kV,35kV313备用线,313线路保护,二次设备,变位,,,PSCADA退出/投入,一般遥信,是,313闭锁重合压板,313闭锁重合压板
463,35kV,35kV313备用线,313线路保护,二次设备,告知,,,PSCADA分位/合位,一般遥信,是,313信号复归开入,313信号复归开入
464,35kV,35kV313备用线,313线路保护,二次设备,异常,,,PSCADA退出/投入,一般遥信,是,313装置检修,313装置检修
465,35kV,35kV313备用线,313开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,313储能电源跳闸,313储能电源跳闸
466,35kV,35kV313备用线,313开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,313SF6压力低闭锁,313SF6压力低闭锁
467,35kV,35kV313备用线,313开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,313SF6压力低报警,313SF6压力低报警
468,35kV,35kV313备用线,313开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,313电缆室/开关室加热器故障,313电缆室/开关室加热器故障
469,35kV,35kV313备用线,313线路保护,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,313网络通讯正常,313网络通讯正常
